title,variant,price,imgUrl,link,l1,l2,inviteId,modelId,final_1688_link,price judge,update date,itemid,最大价格,tag,共有model数,l3
Skinny Warm 是一款轻薄透气的保暖连裤袜，内衬抓绒，适合 0-15 摄氏度的温度穿着。,浅肤色白皙W（连脚），XS-L,10.5,https://cf.shopee.co.th/file/th-11134207-81zth-mdy7pfrxxf5z92,http://shopee.co.th/product/16672301/549236122,Women Clothes,Socks & Stockings,IVCN2026031722519,2.76273E+11,https://detail.1688.com/offer/536475958519.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,,4-21发布,549236122,10.5,,8,Pantyhose
Skinny Warm 是一款轻薄透气的保暖连裤袜，内衬抓绒，适合 0-15 摄氏度的温度穿着。,浅肤色C（连脚），XS-L,31,https://cf.shopee.co.th/file/th-11134207-81zte-mdy8eaw2ifb706,http://shopee.co.th/product/16672301/549236122,Women Clothes,Socks & Stockings,IVCN2026031722519,2.76273E+11,https://detail.1688.com/offer/859154591201.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i11&source=action%23offerItem%3Borigin%23cf.shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,,4-21发布,549236122,31,,8,Pantyhose
Skinny Warm 是一款轻薄透气的保暖连裤袜，内衬抓绒，适合 0-15 摄氏度的温度穿着。,浅肤色C（踩脚），XS-L,31,https://cf.shopee.co.th/file/th-11134207-81ztj-me1duol80rnqa8,http://shopee.co.th/product/16672301/549236122,Women Clothes,Socks & Stockings,IVCN2026031722519,2.76273E+11,https://detail.1688.com/offer/859154591201.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i11&source=action%23offerItem%3Borigin%23cf.shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,,4-21发布,549236122,31,,8,Pantyhose
Skinny Warm 是一款轻薄透气的保暖连裤袜，内衬抓绒，适合 0-15 摄氏度的温度穿着。,浅肤色C（踩脚），L-XXXL,31,https://cf.shopee.co.th/file/th-11134207-81ztj-me1duol80rnqa8,http://shopee.co.th/product/16672301/549236122,Women Clothes,Socks & Stockings,IVCN2026031722519,2.76273E+11,https://detail.1688.com/offer/859154591201.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i11&source=action%23offerItem%3Borigin%23cf.shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,,4-21发布,549236122,31,,8,Pantyhose
Skinny Warm 是一款轻薄透气的保暖连裤袜，内衬抓绒，适合 0-15 摄氏度的温度穿着。,自然肤色（连脚），XS-L,31,https://cf.shopee.co.th/file/th-11134207-81zti-mdy7pfrylatf7a,http://shopee.co.th/product/16672301/549236122,Women Clothes,Socks & Stockings,IVCN2026031722519,2.76273E+11,https://detail.1688.com/offer/859154591201.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i11&source=action%23offerItem%3Borigin%23cf.shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,,4-21发布,549236122,31,,8,Pantyhose
Skinny Warm 是一款轻薄透气的保暖连裤袜，内衬抓绒，适合 0-15 摄氏度的温度穿着。,自然肤色（连脚），L-XXXL,31,https://cf.shopee.co.th/file/th-11134207-81zti-mdy7pfrylatf7a,http://shopee.co.th/product/16672301/549236122,Women Clothes,Socks & Stockings,IVCN2026031722519,2.76273E+11,https://detail.1688.com/offer/859154591201.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i11&source=action%23offerItem%3Borigin%23cf.shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,,4-21发布,549236122,31,,8,Pantyhose
Skinny Warm 是一款轻薄透气的保暖连裤袜，内衬抓绒，适合 0-15 摄氏度的温度穿着。,自然肤色（踩脚），L-XXXL,10.5,https://cf.shopee.co.th/file/th-11134207-81ztj-me1duol80rnqa8,http://shopee.co.th/product/16672301/549236122,Women Clothes,Socks & Stockings,IVCN2026031722519,2.76273E+11,https://detail.1688.com/offer/536475958519.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,,4-21发布,549236122,10.5,,8,Pantyhose
Skinny Warm 是一款轻薄透气的保暖连裤袜，内衬抓绒，适合 0-15 摄氏度的温度穿着。,黑色透明（踩脚脚），XS-L,31,https://cf.shopee.co.th/file/th-11134207-81ztj-me1duol80rnqa8,http://shopee.co.th/product/16672301/549236122,Women Clothes,Socks & Stockings,IVCN2026041626638,2.76273E+11,https://detail.1688.com/offer/859154591201.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i11&source=action%23offerItem%3Borigin%23cf.shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,,4-21发布,549236122,31,,8,Pantyhose
伯灵顿男士棉质加厚运动船袜，3双装，0223,黑色,5.07,https://cf.shopee.ph/file/ph-11134207-7rase-m1dnx5cldeyh62,http://shopee.ph/product/31978308/568006753,Men Clothes,Socks,IVCN2026041626638,734131135,https://detail.1688.com/offer/774693852781.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,,4-21发布,568006753,5.07,,2,
伯灵顿男士棉质加厚运动船袜，3双装，0223,白色,5.07,https://cf.shopee.ph/file/ph-11134207-7rasd-m1dnx5clderje6,http://shopee.ph/product/31978308/568006753,Men Clothes,Socks,IVCN2026031722538,734131137,https://detail.1688.com/offer/774693852781.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,,4-21发布,568006753,5.07,,2,
Slim Warm II 无绒内衬保暖紧身裤，塑形压缩，适合 8-15 摄氏度环境,肤色——连脚，S,19.9,https://cf.shopee.co.th/file/th-11134207-7r98x-lzsul4twp0a12d,http://shopee.co.th/product/16672301/950690311,Women Clothes,Socks & Stockings,IVCN2026031722538,1.86229E+11,https://detail.1688.com/offer/681883669171.html?spm=a26352.b28411319.offerlist.6.14bc1e62LXaeio&cosite=-&tracelog=p4p&_p_isad=1&clickid=9c623d8cff624ca38ebfde52d72a5c96&sessionid=29ce39024f6734f3a0b542743a7948a6,,4-21发布,950690311,19.9,,7,Pantyhose
Slim Warm II 无绒内衬保暖紧身裤，塑形压缩，适合 8-15 摄氏度环境,肤色 - 连脚，XL码,12.3,https://cf.shopee.co.th/file/th-11134207-7r98x-lzsul4twp0a12d,http://shopee.co.th/product/16672301/950690311,Women Clothes,Socks & Stockings,IVCN2026031722538,1.86229E+11,https://detail.1688.com/offer/529044131792.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i13&source=action%23offerItem%3Borigin%23cf.shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,,4-21发布,950690311,12.3,,7,Pantyhose
Slim Warm II 无绒内衬保暖紧身裤，塑形压缩，适合 8-15 摄氏度环境,深肤色 - 连脚，S,12.3,https://cf.shopee.co.th/file/th-11134207-7r98x-lzune25sc1bd69,http://shopee.co.th/product/16672301/950690311,Women Clothes,Socks & Stockings,IVCN2026031722538,1.86229E+11,https://detail.1688.com/offer/529044131792.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i13&source=action%23offerItem%3Borigin%23cf.shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,,4-21发布,950690311,12.3,,7,Pantyhose
Slim Warm II 无绒内衬保暖紧身裤，塑形压缩，适合 8-15 摄氏度环境,深肤色- 踩脚，S,12.3,https://cf.shopee.co.th/file/th-11134207-81zto-mdymglbvjv9h2b,http://shopee.co.th/product/16672301/950690311,Women Clothes,Socks & Stockings,IVCN2026031722538,1.86229E+11,https://detail.1688.com/offer/529044131792.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i13&source=action%23offerItem%3Borigin%23cf.shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,,4-21发布,950690311,12.3,,7,Pantyhose
Slim Warm II 无绒内衬保暖紧身裤，塑形压缩，适合 8-15 摄氏度环境,黑色透明，连脚，S,12.3,https://cf.shopee.co.th/file/th-11134207-7ras9-m1xmc6x3sxux59,http://shopee.co.th/product/16672301/950690311,Women Clothes,Socks & Stockings,IVCN2026031722538,1.86229E+11,https://detail.1688.com/offer/529044131792.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i13&source=action%23offerItem%3Borigin%23cf.shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,,4-21发布,950690311,12.3,,7,Pantyhose
Slim Warm II 无绒内衬保暖紧身裤，塑形压缩，适合 8-15 摄氏度环境,黑色透明，踩脚，S码,21.9,https://cf.shopee.co.th/file/th-11134207-7rasa-ma538jthnabt1d,http://shopee.co.th/product/16672301/950690311,Women Clothes,Socks & Stockings,IVCN2026031722538,1.86229E+11,https://detail.1688.com/offer/681883669171.html?spm=a26352.b28411319.offerlist.6.14bc1e62LXaeio&cosite=-&tracelog=p4p&_p_isad=1&clickid=9c623d8cff624ca38ebfde52d72a5c96&sessionid=29ce39024f6734f3a0b542743a7948a6,,4-21发布,950690311,21.9,,7,Pantyhose
Slim Warm II 无绒内衬保暖紧身裤，塑形压缩，适合 8-15 摄氏度环境,黑色薄明，踩脚，XL码,19.9,https://cf.shopee.co.th/file/th-11134207-7rasa-ma538jthnabt1d,http://shopee.co.th/product/16672301/950690311,Women Clothes,Socks & Stockings,IVCN202602280899,1.86229E+11,https://detail.1688.com/offer/681883669171.html?spm=a26352.b28411319.offerlist.6.14bc1e62LXaeio&cosite=-&tracelog=p4p&_p_isad=1&clickid=9c623d8cff624ca38ebfde52d72a5c96&sessionid=29ce39024f6734f3a0b542743a7948a6,,4-21发布,950690311,19.9,,7,Pantyhose
Exped 女士休闲棉质炭灰色短袜，黑白配色 T44352 – 三双装,黑色,7.8,https://cf.shopee.ph/file/5df9bfb85fa4bc7d9e2046b6084b0dac,http://shopee.ph/product/66373948/1111137788,Women Clothes,Socks & Stockings,IVCN2025122413153,1101395144,https://detail.1688.com/offer/895033179968.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i10&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,,4-21发布,1111137788,7.8,,1,Socks
Dri Plus 男士纯棉加厚运动中筒袜，3 双装 DMSKG16,白色,6,https://cf.shopee.ph/file/sg-11134201-821e8-mgoqhlgt9szy85,http://shopee.ph/product/31978308/1209181475,Men Clothes,Socks,IVCN2026041626641,1369796835,https://detail.1688.com/offer/745718709750.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i5&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,,4-21发布,1209181475,6,,1,
XSEN 竹炭黑色高帮袜除臭袜 Stokin Stoking Hitam,BA46-3双，黑色,6.3,https://cf.shopee.com.my/file/my-11134207-820l8-mh00jlsa6m89b5,http://shopee.com.my/product/28515006/1392469959,Men Clothes,Socks,IVCN2026031819187,2.92149E+11,https://detail.1688.com/offer/800712190003.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i16&source=action%23offerItem%3Borigin%23cf.shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,,4-21发布,1392469959,6.3,,1,
（均码，12双装）Sanremo 男士成人工作袜，黑色，贴合舒适，轻便透气，凉爽舒适，减少异味，NIS-SRM1-BLF,黑色（均码，12双装）,33.3,https://cf.shopee.co.th/file/f4ce7268be041b56b6442b2d8c364721,http://shopee.co.th/product/32005559/1438894517,Men Clothes,Socks,IVCN2026041626643,32145739077,https://detail.1688.com/offer/730187557787.html?kj_agent_plugin=aliprice&fromkv=xytTrace%3A0b5681be17736289888755144e0da2&token=b4mxizUb5huHSjTaQm8JgA3Tvh%2F%2FgeWvecuwb1kFEE7dy8dgZR8o92L27bV0UCd6&tracelog=cps&clickid=31e2c2575f9b2f9851084d932425f8fc&targetUrl=https%3A%2F%2Fs.click.1688.com%2Ft%3Fe%3DD2DC7A927D55C03D6511A0CCA913FD65D6FA062685DFF8F7D920A558D1D5758C4B369BE324A83E744B8F19128B0D93E33FB8088B45F57B9E47F28FD2CC0E231B18AD4F779334558760FEF997084D4D5331EB6FC8DBCADED4C6C8CEEEE21320CC4BD39EA2FE12E3B144206896AB5ED60D5742AF1DDAA5DB845496BD365B316D25B0FAC8A29C491432348394BC3CC3C62B9992F8828C4BE8924C0F95B3F0CCF6F64D8944F9B56E097985544B662DEB5B7583DE1C550EF06DCF329FDFCA3DEDAE5BCEB1A0B5F8B0ED548B2058C647A8F91143048330BDB0059E089C2B35CF644286B931A5606E2453CD4326331A9DD82269%26cbu_cps_trace_flag%3Dwrite,高价品,4-21发布,1438894517,33.3,高价品,1,
1盒7双装Silvy长筒袜批发不透明廉价袜子,米色,19.6,https://cf.shopee.com.my/file/my-11134207-7r98s-lobh39o5o4kwe0,http://shopee.com.my/product/10200981/1515592977,Women Clothes,Socks & Stockings,IVCN2026041626645,2240975673,https://detail.1688.com/offer/642195896162.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i1&source=action%23offerItem%3Borigin%23shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,,4-21发布,1515592977,19.6,,1,Socks
🔥超值优惠🔥1盒7双Silvy原装埃及不透明短筒袜，价格实惠,米色1,4.27,https://cf.shopee.com.my/file/my-11134207-820lh-mi6wgg3t9nggce,http://shopee.com.my/product/10200981/1538768947,Women Clothes,Socks & Stockings,IVCN2026031722541,2293094842,https://detail.1688.com/offer/620480611090.html?kj_agent_plugin=aliprice&fromkv=xytTrace%3A0&tracelog=cps&clickid=d5dfc7e973099f40a4069f301d779127,,4-21发布,1538768947,4.27,,1,Socks
Biofresh 女士抗菌吸汗加厚运动短袜 RLSKG20,黑色,2.55,https://cf.shopee.ph/file/sg-11134201-822y6-mi2b2eqciupsf3,http://shopee.ph/product/31978308/1600518325,Women Clothes,Socks & Stockings,IVCN2026041626647,2448724552,https://detail.1688.com/offer/626072154845.html?,,4-21发布,1600518325,2.55,,1,Socks
Biofresh 男士抗菌防臭棉质加厚短袜，3 双装 RMSKG19,黑色,4.26,https://cf.shopee.ph/file/sg-11134201-7rau0-maxeq0pk1af7ce,http://shopee.ph/product/31978308/1702313003,Men Clothes,Socks,IVCN2026041626649,2757472910,https://detail.1688.com/offer/839034977208.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i3&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,,4-21发布,1702313003,4.26,,1,
双层加厚加宽短袜，大码，适合欧码 41-47，100% 纯棉 - ✅,黑色，12双,11.4,https://cf.shopee.co.th/file/th-11134207-7ra0o-mdlbsupveyum2c,http://shopee.co.th/product/57836362/1713883123,Men Clothes,Socks,IVCN202602280906,2.86147E+11,https://detail.1688.com/offer/943448665025.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i21&source=action%23offerItem%3Borigin%23cf.shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,,4-21发布,1713883123,11.4,,1,
Burlington 男士棉质加厚运动半毛圈性能船袜 3 双装 BML-223,黑色,14.7,https://cf.shopee.ph/file/ph-11134201-7r98t-lmsejf1fv8unc5,http://shopee.ph/product/31978308/1740853856,Men Clothes,Socks,IVCN202604220005,2864404840,https://detail.1688.com/offer/754095450071.html?,,4-21发布,1740853856,14.7,,1,
正品现货！JOBST UltraSheer 超薄压缩袜（及膝以下），压力等级 20-30，尺码 S/M/L,S #7356,19.5,https://cf.shopee.co.th/file/th-11134207-7ra0r-mcrrf9n4n59a14,http://shopee.co.th/product/74243435/1923302611,Women Clothes,Socks & Stockings,IVCN2026041626651,13463321842,https://detail.1688.com/offer/708063034214.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i2&source=action%23offerItem%3Borigin%23shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,高价品,4-22发布,1923302611,19.5,高价品,1,Pantyhose
Exped 男士运动加厚棉质常规袜 540369 - 三双装,黑色,6.3,https://cf.shopee.ph/file/92fa9c80531ef965a8f7ec86f5d9460f,http://shopee.ph/product/66373948/1947820289,Men Clothes,Socks,IVCN2025122413177,3358744244,https://detail.1688.com/offer/732834638609.html?spm=a26352.b28411319/2508.0.0.3b071e62DdsdCw,,4-21发布,1947820289,6.3,,1,
Biofresh 男士无异味棉质轻薄休闲船袜 3 双装 RMCKG9,3晒干黑色,10.8,https://cf.shopee.ph/file/sg-11134201-22100-h20a4na6mliva4,http://shopee.ph/product/31978308/2002008008,Men Clothes,Socks,IVCN202510230833,52045399958,https://detail.1688.com/offer/597177522462.html?spm=a26352.b28411319.offerlist.1.198a1e62RmWjyO&cosite=-&tracelog=p4p&_p_isad=1&clickid=861ab62a7ac1424e99b6b054109e11af&sessionid=229b402ac98b2742fe83535998019937,,4-21发布,2002008008,10.8,,1,
INNERCLUB 男士袜子（均码，6 双装）低帮、凉爽干爽、柔软舒适。,浅灰色,7.46,https://cf.shopee.co.th/file/th-11134201-7rasd-ma46n7pexp9f1b,http://shopee.co.th/product/37022135/2614894468,Men Clothes,Socks,IVCN202507093587,5954568052,https://detail.1688.com/offer/786252812624.html?spm=a26352.b28411319.offerlist.16.54301e62KbYVj0&cosite=-&tracelog=p4p&_p_isad=1&clickid=66296c87579c41baa259761c43281f7b&sessionid=7e87a29ce06b4bf6f282d9c0e0116c37,,4-21发布,2614894468,7.46,,1,
Biofresh 男士吸汗轻薄休闲短袜，3 双装 RMCKG14,黑色的,3.75,https://cf.shopee.ph/file/ph-11134207-7rasi-m63i656pneoq77,http://shopee.ph/product/31978308/2716141027,Men Clothes,Socks,IVCN202507093587,6459855778,https://detail.1688.com/offer/871796374400.html?,,4-21发布,2716141027,3.75,,2,
Biofresh 男士吸汗轻薄休闲短袜，3 双装 RMCKG14,灰色杂色,10.5,https://cf.shopee.ph/file/ph-11134207-7ra0t-mbevxpolndmwb0,http://shopee.ph/product/31978308/2716141027,Men Clothes,Socks,IVCN2026041626653,6459855779,https://detail.1688.com/offer/970295338495.html?spm=a26352.b28411319.offerlist.49.5ae41e62RHThz2,,4-21发布,2716141027,10.5,,2,
商务袜，工作袜 [12 双装，100 泰铢],全黑，均码,7.6,https://cf.shopee.co.th/file/05f2adc9890d981ce6743c823d0f25f1,http://shopee.co.th/product/191715875/3461395837,Men Clothes,Socks,IVCN2025122413640,56033983771,https://detail.1688.com/offer/832330045496.html?fromkv=cbuPcPlugin:imageSearchDrawer&spm=a2639h.29135425.offerlist.i3&source=action%23offerItem%3Borigin%23shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,,4-21发布,3461395837,7.6,,1,
Bamboo Socks Men Stokin Anti Bau 𝐀𝐧𝐭𝐢 𝐁𝐚𝐜𝐭𝐞𝐫𝐢𝐚𝐥 Premium Plain Black Socks Charcoal Socks 防臭袜子竹炭袜除臭袜子,黑色（5双）,15.5,https://cf.shopee.com.my/file/my-11134207-820lb-mlhhaduz92j329,http://shopee.com.my/product/122966140/3607998187,Men Clothes,Socks,IVCN2026041626655,2.76273E+11,https://detail.1688.com/offer/740628319673.html?spm=a26352.b28411319.offerlist.10.43661e62e2zIpD&cosite=-&tracelog=p4p&_p_isad=1&clickid=b2b58247ea994411a35223dfa2ece8c0&sessionid=GdbDnMpE6xz2SxXwbHcMWhF8N66fGfJi6fx1760425448001,高价品,4-21发布,3607998187,15.5,高价品,1,
Iconic 三合一男士基础运动袜，多种灰色可选,3双多色,6.3,https://cf.shopee.ph/file/ph-11134207-7r98o-lvu39cby7u2s7b,http://shopee.ph/product/397814209/4187633873,Men Clothes,Socks,IVCN2026031722562,25681636661,https://detail.1688.com/offer/960448262735.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i1&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,,4-21发布,4187633873,6.3,,1,
Burlington 男士棉质加厚运动短袜，3 双装 BMKSG22,短袜，3双装BMKSG22,2.7,https://cf.shopee.ph/file/sg-11134201-7rdvr-mde1imx4vknib3,http://shopee.ph/product/31978308/4545455727,Men Clothes,Socks,IVCN202602280930,60531128660,https://detail.1688.com/offer/688656123859.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,,4-21发布,4545455727,2.7,,1,
ORO医用飞行旅行袜（压力等级10-12mmHg）,黑色-FTS,3.8,https://cf.shopee.ph/file/ph-11134207-81ztf-mjtq69t9aux3c5,http://shopee.ph/product/313858312/4878600135,Women Clothes,Socks & Stockings,IVCN2026041626657,91810437910,https://detail.1688.com/offer/777095607477.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i1&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,,4-21发布,4878600135,3.8,,1,Socks
Oro 男士防臭袜子 – 3 双装,3双,6.6,https://cf.shopee.ph/file/ph-11134207-7r991-lwgn717g3pxg25,http://shopee.ph/product/313858312/4888016894,Men Clothes,Socks,IVCN2026031722566,65268594215,https://detail.1688.com/offer/638386610440.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i2&source=action%23offerItem%3Borigin%23cf.shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,,4-21发布,4888016894,6.6,,1,
Kendall 中等压力无趾连裤袜 1701,深肤色，M,69,https://cf.shopee.com.br/file/sg-11134201-8259e-mfwwxie9iarx17,http://shopee.com.br/product/421856066/5185660508,Women Clothes,Socks & Stockings,IVCN2026041626659,74835935271,https://detail.1688.com/offer/675331015471.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i4&source=action%23offerItem%3Borigin%23cf.shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,高价品,4-21发布,5185660508,69,高价品,1,Pantyhose
