title,variant,price,imgUrl,link,l1,l2,inviteId,modelId,final_1688_link,price judge,update date,itemid,最大价格,tag,共有model数,l3
Exped 男士休闲棉质炭灰色低帮袜 540267 黑白款 - 三双装,黑色的,5.7,https://cf.shopee.ph/file/fc5253bcb8bf1558ad5c8ca4d4af50c4,http://shopee.ph/product/66373948/1140066236,Men Clothes,Socks,IVCN2026091823741,1168135214,https://detail.1688.com/offer/671734059897.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,高价品,20260918,1140066236,5.7,高价品,1,
Burlington 女士棉质加厚运动隐形防滑鞋套 3 双装 BLFCSG1G,黑色的,2.55,https://cf.shopee.ph/file/299c106ef8a310fc631d99f47d500375,http://shopee.ph/product/31978308/1201116109,Women Clothes,Socks & Stockings,IVCN2026091823743,1343816565,https://detail.1688.com/offer/780832445415.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i2&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,高价品,20260918,1201116109,2.55,高价品,1,Socks
Burlington 女士全支撑弹力连裤袜 50 旦尼尔 1 双装 BSPN50,S WHT IND1,6.81,https://cf.shopee.ph/file/ph-11134207-7qula-lgkntren6ir42c,http://shopee.ph/product/31978308/1301339708,Women Clothes,Socks & Stockings,IVCN2026091823745,206732238530,https://detail.1688.com/offer/985905910824.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i5&source=action%23offerItem%3Borigin%23cf.shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,中价品,20260918,1301339708,6.81,中价品,1,Pantyhose
10双短袜——超值！舒适透气，质量好，弹性佳，非常适合日常穿着。,10双裸色鞋子,2.5,https://cf.shopee.co.th/file/th-11134207-7r98y-lp5a7t7jxq3t6a,http://shopee.co.th/product/817726/1493141774,Women Clothes,Socks & Stockings,IVCN2026091823747,194808610205,https://detail.1688.com/offer/528889960325.html?,中价品,20260918,1493141774,2.5,中价品,1,Socks
1盒7双装Silvy长筒袜批发不透明廉价袜子,浅褐色的,19.6,https://cf.shopee.com.my/file/my-11134207-820lf-mqpqf1e6wxl783,http://shopee.com.my/product/10200981/1515592977,Women Clothes,Socks & Stockings,IVCN2026091823749,2240975674,https://detail.1688.com/offer/642195896162.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i1&source=action%23offerItem%3Borigin%23shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,高价品,20260918,1515592977,19.6,高价品,1,Socks
Biofresh 女士抗菌吸汗加厚运动短袜 RLSKG20,黑色的,2.55,https://cf.shopee.ph/file/sg-11134201-822y6-mi2b2eqciupsf3,http://shopee.ph/product/31978308/1600518325,Women Clothes,Socks & Stockings,IVCN2026091823751,2448724552,https://detail.1688.com/offer/626072154845.html?,高价品,20260918,1600518325,2.55,高价品,1,Socks
透明丝袜，5D隐形丝袜 *防勾丝* *买得越多越便宜（批发价有售）* 💗正品💗 质地极其顺滑细腻，感觉就像没穿一样。,肉类，均码,2.43,https://cf.shopee.co.th/file/th-11134207-7qukz-lg54fweqnsr214,http://shopee.co.th/product/23444904/1609974946,Women Clothes,Socks & Stockings,IVCN2026091823753,2477391293,https://detail.1688.com/offer/669491667966.html?,中价品,20260918,1609974946,2.43,中价品,1,Pantyhose
Biofresh 男士抗菌防臭棉质加厚短袜，3 双装 RMSKG19,黑色的,3.47,https://cf.shopee.ph/file/sg-11134201-7rau0-maxeq0pk1af7ce,http://shopee.ph/product/31978308/1702313003,Men Clothes,Socks,IVCN2026091823755,2757472910,https://detail.1688.com/offer/839034977208.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i3&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,高价品,20260918,1702313003,3.47,高价品,1,
Biofresh 男士抗菌棉质加厚运动中筒袜 3 双装 RMSKG20,黑色，9/13,3.45,https://cf.shopee.ph/file/ph-11134207-7rasd-m1dsg2n289vdc1,http://shopee.ph/product/31978308/1702434448,Men Clothes,Socks,IVCN2026091823757,197877790428,https://detail.1688.com/offer/872349848238.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,高价品,20260918,1702434448,3.45,高价品,1,
Burlington 女士隐形轻薄休闲防滑袜 3 双装 BLFG1,SMALL BLK GP3,9.6,https://cf.shopee.ph/file/sg-11134201-822xg-modd2sarslq837,http://shopee.ph/product/31978308/1825265281,Women Clothes,Socks & Stockings,IVCN2026091823759,3108933276,https://detail.1688.com/offer/567788627932.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,高价品,20260918,1825265281,9.6,高价品,2,Socks
Burlington 女士隐形轻薄休闲防滑袜 3 双装 BLFG1,小肤色 GP3,9.6,https://cf.shopee.ph/file/sg-11134201-822wt-modd2rulbs3z7d,http://shopee.ph/product/31978308/1825265281,Women Clothes,Socks & Stockings,IVCN2026091823759,3108933277,https://detail.1688.com/offer/567788627932.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,高价品,20260918,1825265281,9.6,高价品,2,Socks
漂亮女孩全身丝袜，50 DENER 厚度。,商品编号 11，均码,4.13,https://cf.shopee.co.th/file/sg-11134201-22110-7jcc5qtb4pjv85,http://shopee.co.th/product/119589292/1845816870,Women Clothes,Socks & Stockings,IVCN2026091823761,3169135068,https://detail.1688.com/offer/537613051153.html?fromkv=cbuPcPlugin:imageSearchDrawer&spm=a2639h.29135425.offerlist.i8&source=action%23offerItem%3Borigin%23shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,中价品,20260918,1845816870,4.13,中价品,3,Pantyhose
漂亮女孩全身丝袜，50 DENER 厚度。,黑色 20 号，均码,3.21,https://cf.shopee.co.th/file/sg-11134201-22110-sf78bf4b4pjvf7,http://shopee.co.th/product/119589292/1845816870,Women Clothes,Socks & Stockings,IVCN2026091823761,3169135070,https://detail.1688.com/offer/894447674467.html?spm=a26352.13672862.offerlist.43.52eee60cAIAMie&offerId=894447674467&sortType=&pageId=&abBizDataType=cbuOffer&hotSaleSkuId=5745926865351&trace_log=normal&uuid=417337c3b4aa4e04a2f12f7f70a0c253&forcePC=1760683172442,中价品,20260918,1845816870,3.21,中价品,3,Pantyhose
漂亮女孩全身丝袜，50 DENER 厚度。,商品编号 15，均码,3.81,https://cf.shopee.co.th/file/sg-11134201-22110-wqlaek1b4pjv3b,http://shopee.co.th/product/119589292/1845816870,Women Clothes,Socks & Stockings,IVCN2026091823761,3169135069,https://detail.1688.com/offer/537613051153.html?fromkv=cbuPcPlugin:imageSearchDrawer&spm=a2639h.29135425.offerlist.i8&source=action%23offerItem%3Borigin%23shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,中价品,20260918,1845816870,3.81,中价品,3,Pantyhose
Biofresh 男士抗菌除臭棉质薄款休闲船袜 3 双装 RMCKG9,Biofresh 男士抗菌除臭棉质薄款休闲船袜 3 双装 RMCKG9,6.56,https://cf.shopee.ph/file/sg-11134201-22100-h20a4na6mliva4,http://shopee.ph/product/31978308/2002008008,Men Clothes,Socks,IVCN2026091823763,52045399958,https://detail.1688.com/offer/597177522462.html?spm=a26352.b28411319.offerlist.1.198a1e62RmWjyO&cosite=-&tracelog=p4p&_p_isad=1&clickid=861ab62a7ac1424e99b6b054109e11af&sessionid=229b402ac98b2742fe83535998019937,高价品,20260918,2002008008,6.56,高价品,1,
Burlington 男士尼龙迷你船袜，3 双装 BMDG2,Burlington 男士尼龙迷你船袜，3 双装 BMDG2,5.45,https://cf.shopee.ph/file/sg-11134201-822zk-moddnl1yckcg4b,http://shopee.ph/product/31978308/2004202982,Men Clothes,Socks,IVCN2026091823765,52045399959,https://detail.1688.com/offer/656174286483.html?kj_agent_plugin=aliprice&fromkv=xytTrace%3A0&tracelog=cps&clickid=4a8dd0813e2e4fe46e4d8357c7a57282,高价品,20260918,2004202982,5.45,高价品,1,
👠👠👠 6双正装袜，100泰铢。包装简洁。😍😍😍（全硅胶材质）,白色，均码,6.02,https://cf.shopee.co.th/file/bbb789249d501f5cf5bf9a1d3f02a130,http://shopee.co.th/product/151952873/2284015763,Women Clothes,Socks & Stockings,IVCN2026091823767,4427046604,https://detail.1688.com/offer/696836853379.html?spm=a26352.b28411319/2508.0.0,中价品,20260918,2284015763,6.02,中价品,1,Socks
Pretty Girl (Yae) 全身丝袜，80D 厚度。,3A,3.14,https://cf.shopee.co.th/file/c71b1100ccbdc1a591ceed0fbf48fe75,http://shopee.co.th/product/119589292/2601551495,Women Clothes,Socks & Stockings,IVCN2026091823769,5892136356,https://detail.1688.com/offer/816381330710.html?sk=undefined&kj_agent_plugin=aliprice&fromkv=xytTrace%3A0,中价品,20260918,2601551495,3.14,中价品,4,Pantyhose
Pretty Girl (Yae) 全身丝袜，80D 厚度。,10号白色,3.02,https://cf.shopee.co.th/file/sg-11134201-22100-xh2rsu3k1bivc8,http://shopee.co.th/product/119589292/2601551495,Women Clothes,Socks & Stockings,IVCN2026091823769,174691302022,https://detail.1688.com/offer/816381330710.html?sk=undefined&kj_agent_plugin=aliprice&fromkv=xytTrace%3A0,中价品,20260918,2601551495,3.02,中价品,4,Pantyhose
Pretty Girl (Yae) 全身丝袜，80D 厚度。,#15,4.29,https://cf.shopee.co.th/file/b824fa95ee644166f2496814bc5a9fa3,http://shopee.co.th/product/119589292/2601551495,Women Clothes,Socks & Stockings,IVCN2026091823769,5892136353,https://detail.1688.com/offer/816381330710.html?sk=undefined&kj_agent_plugin=aliprice&fromkv=xytTrace%3A0,中价品,20260918,2601551495,4.29,中价品,4,Pantyhose
Pretty Girl (Yae) 全身丝袜，80D 厚度。,#2A,4.24,https://cf.shopee.co.th/file/17f442f282cf18dd193aacc488e20131,http://shopee.co.th/product/119589292/2601551495,Women Clothes,Socks & Stockings,IVCN2026091823769,5892136354,https://detail.1688.com/offer/816381330710.html?sk=undefined&kj_agent_plugin=aliprice&fromkv=xytTrace%3A0,中价品,20260918,2601551495,4.24,中价品,4,Pantyhose
INNERCLUB 速干踝袜，6 双装：舒适、速干、防潮。,白色的,5.95,https://cf.shopee.co.th/file/th-11134201-7rasj-ma46n5vxlkp58d,http://shopee.co.th/product/37022135/2614894468,Men Clothes,Socks,IVCN2026091823771,5954568053,https://detail.1688.com/offer/786252812624.html?kj_agent_plugin=aliprice&fromkv=xytTrace%3A2104e90217510235186852514e16d8&token=inkhX1C6N%2BSP%2BTXgTWT2ztR9QEzH17ZidJnj06w1gSzt8uxCisaioOXceyL7PFJp&tracelog=cps&clickid=9629a551ab2c4f0af25727e9c5985c73&targetUrl=https%3A%2F%2Fs.click.1688.com%2Ft%3Fe%3DA6FEAF87A2FCFBDD05C1BD6ABB449CE46147FC88EA630CBAC31FEFBD3966EDE4DF88C915D5486E33D1003E749B3EAAA5861098A75E16F4D226600F2847DABD1A5F0FFA4FF39BCCC320D4625E68D0D47AF6FEC9241CC79F982F2298161E9E1CDC8BA97B66DF36C002D7CFCBEC2493B16501A8B42798BE99328EAD1F615DB7E8E17EEF6D6099BA67CE2BA95CC4F9A8AC07614DA94497DE78F897007FB2BC014150744EE45BB6122623B86BBF44151308704F863E9973C3E2040457CA9509D4A7A5C08739ECE20593DDABE3D0C206336F3171760AA5417FD450%26cbu_cps_trace_flag%3Dwrite,高价品,20260918,2614894468,5.95,高价品,4,
INNERCLUB 速干踝袜，6 双装：舒适、速干、防潮。,浅灰色,6,https://cf.shopee.co.th/file/th-11134201-7rasd-ma46n7pexp9f1b,http://shopee.co.th/product/37022135/2614894468,Men Clothes,Socks,IVCN2026091823771,5954568052,https://detail.1688.com/offer/786252812624.html?spm=a26352.b28411319.offerlist.16.54301e62KbYVj0&cosite=-&tracelog=p4p&_p_isad=1&clickid=66296c87579c41baa259761c43281f7b&sessionid=7e87a29ce06b4bf6f282d9c0e0116c37,高价品,20260918,2614894468,6,高价品,4,
INNERCLUB 速干踝袜，6 双装：舒适、速干、防潮。,深灰色,5.95,https://cf.shopee.co.th/file/th-11134201-7rasl-ma46n7ouyild68,http://shopee.co.th/product/37022135/2614894468,Men Clothes,Socks,IVCN2026091823771,5954568051,https://detail.1688.com/offer/786252812624.html?spm=a26352.b28411319.offerlist.16.54301e62KbYVj0&cosite=-&tracelog=p4p&_p_isad=1&clickid=66296c87579c41baa259761c43281f7b&sessionid=7e87a29ce06b4bf6f282d9c0e0116c37,高价品,20260918,2614894468,5.95,高价品,4,
INNERCLUB 速干踝袜，6 双装：舒适、速干、防潮。,黑色的,6.08,https://cf.shopee.co.th/file/th-11134201-7rasc-ma46n7wmn57nc1,http://shopee.co.th/product/37022135/2614894468,Men Clothes,Socks,IVCN2026091823771,5954568050,https://detail.1688.com/offer/927626483803.html?spm=a26352.b28411319.offerlist.43.607c1e62LQViLR,高价品,20260918,2614894468,6.08,高价品,4,
XSEN 加厚耐用工作袜 棉袜 厚长筒袜 工作袜 厚袜子 耐用长筒袜,XSK61551,1.8,https://cf.shopee.com.my/file/4a6976a2ae8d0ca12e4ad87b2d4cfd18,http://shopee.com.my/product/28515006/3216939775,Men Clothes,Socks,IVCN2026091823773,13510301523,https://detail.1688.com/offer/966275973914.html?fromkv=cbuPcPlugin:imageSearchDrawerTable&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,中价品,20260918,3216939775,1.8,中价品,1,
Oro 治疗性压力袜 20-30 mmHg,肤色-OTKH-28 M,29.9,https://cf.shopee.ph/file/ph-11134207-81zte-mjrwy0jxzytf86,http://shopee.ph/product/313858312/3455875787,Women Clothes,Socks & Stockings,IVCN2026091823775,116804937657,https://detail.1688.com/offer/743782652341.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i7&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,高价品,20260918,3455875787,29.9,高价品,1,Pantyhose
Golden Legs 清凉支撑透明丝袜（1 件装）,（28）红糖,3,https://cf.shopee.co.th/file/th-11134207-7rasm-m9brk8161krk59,http://shopee.co.th/product/75930064/3555599409,Women Clothes,Socks & Stockings,IVCN2026091823777,231837764129,https://detail.1688.com/offer/921355525732.html?spm=a26352.b28411319.offerlist.6.46b71e62xQ1fFq,中价品,20260918,3555599409,3,中价品,1,Pantyhose
男士加厚长棉质工作袜，耐穿加厚长款工作袜，男士安全靴,纯黑色 - 3 双,6.35,https://cf.shopee.com.my/file/my-11134207-7r992-lzbcilkfutt571,http://shopee.com.my/product/228709309/4242752842,Men Clothes,Socks,IVCN2026091823779,41952947384,https://detail.1688.com/offer/715337136581.html?,中价品,20260918,4242752842,6.35,中价品,1,
Biofresh 女士抗菌轻度支撑弹力丝袜 20 旦尼尔 1 双 RSPN20,S BLK IND1,2.55,https://cf.shopee.ph/file/ph-11134207-7qul9-lgkgqkb7gku03e,http://shopee.ph/product/31978308/4264364233,Women Clothes,Socks & Stockings,IVCN2026091823781,51922954999,https://detail.1688.com/offer/773945999339.html?kj_agent_plugin=aliprice&fromkv=xytTrace:212b5ecd17466715073866551e13c9&token=SzNXDVENwegCGiYYJA5xF6h1jwfwyfQg9wGzNMjrQo0w39MCCLdIUg74mz%2Fy2Z1U,中价品,20260918,4264364233,2.55,中价品,2,Pantyhose
Biofresh 女士抗菌轻度支撑弹力丝袜 20 旦尼尔 1 双 RSPN20,S 肤色 IND1,1.9,https://cf.shopee.ph/file/ph-11134207-7qul5-lgkgqkb7hzeg00,http://shopee.ph/product/31978308/4264364233,Women Clothes,Socks & Stockings,IVCN2026091823781,51922955000,https://detail.1688.com/offer/682042474377.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,中价品,20260918,4264364233,1.9,中价品,2,Pantyhose
ORO 健康支撑加强型舒适贴合连裤袜 - 40 旦尼尔（敏感娇嫩款）,亮黑色 - S+,6.35,https://cf.shopee.ph/file/ph-11134207-820l5-mpkfphq8mio1b8,http://shopee.ph/product/313858312/4278473784,Women Clothes,Socks & Stockings,IVCN2026091823783,63892155815,https://detail.1688.com/offer/897123286306.html?spm=a26352.13672862.offerlist.8.34411e62ROUgEK&cosite=-&tracelog=p4p&_p_isad=1&clickid=b772d0cd8ec545eab3514310014d05f8&sessionid=a71697ca3b298f7f2195ca0876b58f4d,中价品,20260918,4278473784,6.35,中价品,2,Pantyhose
ORO 健康支撑加强型舒适贴合连裤袜 - 40 旦尼尔（敏感娇嫩款）,肤色 - S+,4.82,https://cf.shopee.ph/file/ph-11134207-820l8-mpkfp37cdfk01e,http://shopee.ph/product/313858312/4278473784,Women Clothes,Socks & Stockings,IVCN2026091823783,63892155813,无同款,中价品,20260918,4278473784,4.82,中价品,2,Pantyhose
ORO 健康塑形抗橘皮组织连裤袜 - 120 旦尼尔（敏感娇嫩款）,纯黑色 - SACS,5,https://cf.shopee.ph/file/ph-11134207-820l7-mpkfdpy58sni9a,http://shopee.ph/product/313858312/4578462159,Women Clothes,Socks & Stockings,IVCN2026091823785,73887928234,https://detail.1688.com/offer/822285946029.html?spm=a26352.13672862.offerlist.34.b0791e625DSa4T&offerId=822285946029&sortType=&pageId=&abBizDataType=cbuOffer&trace_log=normal&uuid=63eeb3a5c7fa444e8c54cb7ddcba55a9&skuId=6010274916731&forcePC=1787051704106,高价品,20260918,4578462159,5,高价品,1,Pantyhose
ORO Glamour Velatissimo 全透明支撑连裤袜 - 30 旦尼尔（敏感娇嫩款）,几乎全黑 - VSC,3.3,https://cf.shopee.ph/file/ph-11134207-820lb-mpj6dir7p81s3a,http://shopee.ph/product/313858312/4771797612,Women Clothes,Socks & Stockings,IVCN2026091823787,330516232097,https://detail.1688.com/offer/769958991706.html?spm=a26352.13672862.offerlist.5.73521e626WF5xV&offerId=769958991706&sortType=&pageId=&abBizDataType=cbuOffer&hotSaleSkuId=5450165291747&trace_log=normal&uuid=9e9b39ffa89e4ae48e62496d5500f7ce&forcePC=1784110956644,中价品,20260918,4771797612,3.3,中价品,3,Pantyhose
ORO Glamour Velatissimo 全透明支撑连裤袜 - 30 旦尼尔（敏感娇嫩款）,深灰色 - VSC,2.95,https://cf.shopee.ph/file/ph-11134207-820li-mpj6d4xd34019e,http://shopee.ph/product/313858312/4771797612,Women Clothes,Socks & Stockings,IVCN2026091823787,63784637846,https://detail.1688.com/offer/678209302078.html?spm=a26352.b28411319.offerlist.7.2c5a1e62sV12lw&cosite=-&tracelog=p4p&_p_isad=1&clickid=83c2d95e264648879fbe6c6dfd2c078c&sessionid=949ab3dbfd1191fb5eb4ed056d2dabab,中价品,20260918,4771797612,2.95,中价品,3,Pantyhose
ORO Glamour Velatissimo 全透明支撑连裤袜 - 30 旦尼尔（敏感娇嫩款）,Naturalle - VSC,2.95,https://cf.shopee.ph/file/ph-11134207-820l8-mpj6c5mntq1895,http://shopee.ph/product/313858312/4771797612,Women Clothes,Socks & Stockings,IVCN2026091823787,63784637844,https://detail.1688.com/offer/678209302078.html?spm=a26352.b28411319.offerlist.7.2c5a1e62sV12lw&cosite=-&tracelog=p4p&_p_isad=1&clickid=83c2d95e264648879fbe6c6dfd2c078c&sessionid=949ab3dbfd1191fb5eb4ed056d2dabab,中价品,20260918,4771797612,2.95,中价品,3,Pantyhose
ORO 医用飞行旅行袜 - 压力等级 10-12mmHg（敏感娇嫩肌肤适用）,Naturalle - FTS,9.89,https://cf.shopee.ph/file/ph-11134207-820lh-mo6nu07luoebe1,http://shopee.ph/product/313858312/4878600135,Women Clothes,Socks & Stockings,IVCN2026091823789,390915222940,https://detail.1688.com/offer/705202772201.html?spm=a26352.b28411319/2508.0.0,高价品,20260918,4878600135,9.89,高价品,2,Socks
ORO 医用飞行旅行袜 - 压力等级 10-12mmHg（敏感娇嫩肌肤适用）,黑色 - FTS,3.8,https://cf.shopee.ph/file/ph-11134207-81ztf-mjtq69t9aux3c5,http://shopee.ph/product/313858312/4878600135,Women Clothes,Socks & Stockings,IVCN2026091823789,91810437910,https://detail.1688.com/offer/777095607477.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i1&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,高价品,20260918,4878600135,3.8,高价品,2,Socks
旅行蓝飞行压缩袜，男女通用 | 改善血液循环，缓解疲劳,黑色中号,7.5,https://cf.shopee.sg/file/sg-11134207-825b6-ms565612regw2d,http://shopee.sg/product/176411671/5111078152,Women Clothes,Socks & Stockings,IVCN2026091823791,11587005571,https://detail.1688.com/offer/848624979770.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i9&source=action%23offerItem%3Borigin%23shopee.sg&amug_biz=oneself&amug_fl_src=awakeId_982,高价品,20260918,5111078152,7.5,高价品,1,Socks
